"Year","Species","Elevation","day246","day247","day248","day249","day250","day251","day252","day253","day254","day255","day256","day257","day258","day259","day260","day261","day262","day263","day264","day265","day266","day267","day268","day269","day270","day271","day272","day273","day274","day275","day276","day277","day278","day279","day280","day281","day282","day283","day284","day285","day286","day287","day288","day289","day290","day291","day292","day293","day294","day295","day296","day297","day298","day299","day300","day301","day302","day303","day304","day305","day306","day307","day308","day309","day310"
"1999","SM","1400","0.80","1.60","2.40","3.20","4.00","3.80","3.60","3.40","3.20","3.10","2.90","2.70","2.50","2.30","2.10","1.90","1.70","1.50","2.10","2.80","3.40","4.10","4.70","5.30","6.00","6.60","7.30","7.90","8.60","9.20","9.90","10.50","11.10","11.80","14.40","17.00","19.50","22.10","24.70","27.30","28.40","29.60","30.70","31.90","33.00","34.00","35.30","24.50","13.60","2.80","2.50","2.20","2.00","1.70","1.40","1.10","0.80","0.60","0.30","0.00","0.00","0.0","0.0","0.0","0.0"
"2000","SM","1400","0.30","0.50","0.80","1.00","1.30","1.50","1.80","2.00","2.30","2.50","2.80","3.00","3.50","4.10","4.60","5.10","5.70","6.20","6.70","7.20","7.80","8.30","8.80","11.40","13.90","16.50","19.00","21.60","24.20","26.70","29.30","31.60","34.00","36.30","38.60","41.00","43.30","45.60","47.90","50.30","50.50","50.60","50.80","51.00","51.20","51.30","43.60","35.90","28.10","20.40","12.70","5.00","4.40","3.70","3.10","2.50","1.90","1.20","0.60","0.00","0.00","0.0","0.0","0.0","0.0"
"2001","SM","1400","0.10","0.10","0.20","0.20","0.30","0.30","0.40","0.40","0.50","0.50","0.70","0.90","1.10","1.30","1.50","1.60","1.80","2.70","3.50","4.40","5.20","6.10","7.00","7.80","11.90","15.90","20.00","24.10","28.20","32.20","36.30","38.20","40.00","41.90","43.80","45.70","47.50","44.90","42.30","39.60","37.00","34.40","31.80","26.60","21.50","16.30","11.10","6.00","0.80","0.70","0.70","0.60","0.50","0.50","0.40","0.30","0.20","0.20","0.10","0.00","0.00","0.0","0.0","0.0","0.0"
"2002","SM","1400","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.20","0.40","0.60","0.80","1.10","1.30","1.50","1.70","1.90","2.10","2.30","2.50","2.70","3.00","3.10","3.30","3.40","3.60","3.70","3.80","4.00","6.60","9.20","11.80","14.40","17.10","19.70","22.30","24.40","26.50","28.50","30.60","32.70","34.80","36.90","38.90","41.00","40.00","40.00","39.00","39.00","38.00","33.00","28.10","23.10","18.20","13.20","8.20","3.30","2.20","1.10","0.00","0.00","0.0","0.0","0.0","0.0"
"2003","SM","1400","0.90","1.90","2.80","3.00","3.10","3.30","3.50","3.70","3.80","4.00","4.20","4.30","4.50","4.70","4.80","5.00","5.50","6.00","6.40","6.90","7.40","7.90","8.40","8.80","10.30","11.70","13.20","14.60","16.10","17.60","19.00","21.00","23.00","25.00","27.00","29.00","29.70","30.30","31.00","31.70","32.40","33.00","33.70","34.40","35.00","33.20","31.40","29.60","27.80","26.10","24.30","22.50","23.40","24.30","25.10","26.00","19.50","13.00","6.50","0.00","0.00","0.0","0.0","0.0","0.0"
"2004","SM","1400","0.30","0.70","1.00","1.30","1.70","2.00","2.30","2.60","3.00","3.30","3.60","3.90","4.20","4.60","4.90","5.20","5.50","5.80","6.20","6.50","7.40","8.30","9.20","10.10","11.00","11.80","12.70","13.60","14.50","15.50","16.40","17.40","18.30","19.30","22.50","25.70","28.90","32.10","35.40","38.60","41.80","43.70","45.50","47.40","49.20","51.10","53.00","54.80","52.50","50.20","47.90","45.60","43.40","41.10","38.80","31.00","23.30","15.50","7.80","0.00","0.00","0.0","0.0","0.0","0.0"
"2005","SM","1400","0.10","0.10","0.20","0.30","0.40","0.40","0.50","0.60","0.60","0.70","0.80","0.80","0.90","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.10","1.30","1.40","1.60","1.70","1.80","2.00","4.60","7.20","9.70","12.30","14.90","17.50","16.90","16.20","15.60","14.90","14.30","13.70","13.00","18.60","24.30","29.90","35.60","41.20","46.80","52.50","46.40","40.20","34.10","27.90","21.80","15.70","9.50","8.50","7.40","6.40","5.30","0.00","0.00","0.0","0.0","0.0","0.0"
"2006","SM","1400","0.20","0.40","0.60","0.80","1.00","2.40","3.80","5.20","6.60","8.10","9.50","10.90","12.30","11.50","10.80","10.00","9.30","8.50","7.70","7.00","8.90","10.70","12.60","14.40","16.30","18.10","20.00","21.80","23.70","25.50","29.00","32.50","36.00","39.50","36.30","33.10","29.90","26.70","23.50","20.30","17.10","13.90","10.70","7.50","5.60","3.70","1.90","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"2007","SM","1400","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.70","1.40","2.20","2.90","3.60","4.30","4.20","4.20","4.10","4.10","4.00","4.20","4.40","4.70","4.90","5.10","5.30","7.30","9.30","11.30","13.30","15.30","17.30","19.30","21.30","20.50","19.70","18.90","18.10","17.30","16.50","22.60","28.70","34.80","40.90","47.10","53.20","59.30","45.80","32.30","18.80","5.30","4.40","3.50","2.70","1.80","0.90","0.00","0.00","0.0","0.0","0.0","0.0"
"2008","SM","1400","0.20","0.40","0.60","0.80","0.90","1.00","1.10","1.20","1.30","1.40","1.50","1.60","1.70","1.80","2.10","2.40","2.70","3.00","3.40","3.70","4.00","5.50","7.10","8.60","10.20","11.70","13.20","14.80","16.30","17.10","17.80","18.60","19.30","20.10","20.80","27.10","33.40","39.60","45.90","52.20","58.50","64.80","71.00","66.60","62.20","57.70","53.30","48.90","44.50","38.90","33.40","27.80","22.30","16.70","11.10","5.60","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"2009","SM","1400","0.20","0.30","0.50","0.70","0.90","1.10","1.40","1.60","1.80","2.00","2.20","2.40","2.60","2.80","3.00","3.10","3.30","3.50","3.70","3.80","4.00","4.80","5.70","6.50","7.30","8.20","9.00","9.80","12.20","14.60","17.00","19.40","21.80","24.20","26.60","29.00","30.10","31.30","32.40","33.50","34.70","35.80","38.60","41.40","44.20","47.00","49.80","52.50","55.30","48.70","42.10","35.50","28.90","22.30","15.70","9.10","2.50","1.70","0.80","0.00","0.00","0.0","0.0","0.0","0.0"
"2010","SM","1400","0.00","0.10","0.10","0.20","0.30","0.40","0.40","0.50","0.70","0.90","1.20","1.40","1.60","1.80","2.60","3.30","4.10","4.80","5.60","6.30","8.80","11.30","13.80","16.30","18.80","21.30","23.80","26.80","29.80","32.80","35.80","38.80","41.80","44.80","47.80","48.70","49.70","50.60","51.60","52.50","45.80","39.10","32.40","25.70","19.00","12.30","10.80","9.20","7.70","6.10","4.60","3.10","1.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"2011","SM","1400","0.60","0.70","0.80","1.00","1.10","1.20","1.30","1.50","1.60","1.70","1.90","2.00","2.40","2.80","3.20","3.60","4.10","4.50","4.90","5.30","5.10","4.90","4.60","4.40","4.20","4.00","4.70","5.40","6.10","6.80","7.50","11.90","16.30","20.70","25.10","29.60","34.00","38.40","42.80","44.10","45.40","46.60","47.90","49.20","50.50","48.30","46.00","43.80","41.50","36.50","31.40","26.40","21.30","16.30","13.60","11.00","8.30","5.60","3.00","0.30","0.00","0.0","0.0","0.0","0.0"
